,cleaned_tweets,nilai,sentimen
23,sehubungan dengan penunjukan dari dinas kesehatan kota depok rsui menjadi tempat untuk pelaksanaan vaksinasi covid kota depok resmikan sentra vaksinasi indonesia bangkit di rsui,-4,negatif
24,anggota kodim sleman di suntik vaksin astra zeneca sleman anggota kodim sleman disuntik vaksin covid dalam rangka mendukung program pemerintah tentang serbuan vaksin covid merk astra zeneca di hanggar skadik landasan udara adi sucipto maguwoharjo depok,3,positif
25,hahaha dkt banget dari rumah nenek dan tante saya padahal ris tapi saya sudah jarang ke depok semenjak covid banyak bmnya ini kalau di depok ingin taichan bang gondrong juga masih ada gasih,4,positif
26,satgas depok klaim sudah tidak ada rt zona merah covid,5,positif
27,maafya depok penghasil corona,-1,netral
28,waa jurusan mana sering meet up yaa nanti kalau covid deh slsi dan lagi longgar sama yount depok atau sama akuu,5,positif
29,pemilihan kepala daerah lalu adalah kesempatan terbaik menggusur pks dari depok tapi pemilih rasional tidak pada mau memilih karena masih pandemi smntara pemilih pks berbondong ke bilik suara tidak takut covid jadilah pks lagi yang berkuasa di depok,-15,negatif
30,masih anggap sepele covid yang kena covid bukan cm ibu dari depok lagi bukan juga katanya katanya katanya dikenal juga sebagai konon tapi yang kena benar orang yang kita kenal bahkan orang terdekat kita teman baikku sama yang pernah aku tuit terkait covid yang dia kerja di bri skr kena covid melek ikhtiar,-43,negatif
31,bssn bekerja sama dengan kementerian kesehatan menyelenggarakan vaksinasi covid bagi pegawai bssn vaksinasi tahap kedua digelar selama dua hari dengan target pegawai kegiatan diselenggarakan di aula bssn depok,20,positif
32,xl axiata dan ui resmikan sentra vaksinasi covid di depok,2,netral
33,pemerintah kota depok targetkan vaksinasi covid tahap kedua rampung juni,5,positif
34,dukung program vaksinasi covid xl axiata gelar vaksin drive thru di rsui depok news,11,positif
35,tidak ada zona merah covid depok belum izinkan sekolah tatap muka viva,6,positif
36,suplai vaksin covid terbatas wali kota depok ungkap penyebabnya,5,positif
37,ada informasi tidak vaksin covid di depok bisa kemana yang di halodoc jakartans only,-1,netral
38,menkes bidik depok daerah yang cepat divaksin corona tapi nyangkut di bandung,-6,negatif
39,sentra vaksinasi covid dhrive thru hadir di depok,4,positif
40,hai depok penghasil corona,2,netral
41,sentra vaksinasi covid drive thru di rsui resmi dibuka sentra vaksinasi covid drive thru di rsui resmi dibuka xl axiata bekerjasama dengan rumah sakit universitas indonesia yang didukung penuh oleh kementerian kesehatan dan pemerintah kota depok,0,netral
42,wali kota depok mohammad idris menyoroti terbatasnya suplai vaksin covid ke wilayahnya saat ini,3,positif
43,rsui permudah lanjut usia di depok untuk mendapatkan vaksin covid,4,positif
44,dalam rangka ops gabungan yusitisi untuk mencegah penyebaran covid ditlantas polda diy memberikan himbauan serta membagikan masker kepada pengendara jalan di depan polsek depok,-6,negatif
45,melalui reformasi birokrasi khususnya dalam hal pencegahan korupsi dan peningkatan kualitas pelayanan publik kegiatan tersebut dihadiri oleh forkopimda kota depok kegiatan tersebut diselenggarakan dengan tetap menerapkan protokol kesehatan covid,20,positif
46,keliling vet yang ada di depok mencari vaksin pertama untuk kitten kosong semua njir dan kayak vaksin covid aje,-12,negatif
47,hai depok mari ajak orang tua kita yang sudah memasuki usia lanjut usia untuk vaksin covid daftar di vaksin sekarang untuk indonesia,12,positif
48,ini kalau tidak ada covid pelantos seru banget menginap di depok seminggu belajar sampai malam nambah teman baru jdksjdjsjzks kenapa coba coviiiiddddd,9,positif
49,saya tidak tahu ini di daerah depok saja apa begimane tapi ini tidak cuma mcd saja tapi kfc dan resto fastfood lainnya juga begini semenjak korona itu di atas jam tujuh suka banyak yang kosong deh menunya habis begitu,-29,negatif
50,tidak tun nyokapnya orang kantor meninggal karena dekat depok jadi perwakilan ini makin banyak kasus sekitaran kantor yang memang sebelum covid ada pnyakit jadi harus sering kontrol terus kena dirumah sakit memburuk dalam hitungan hari,-13,negatif
51,foto geliat vaksinasi massal covid pedagang kota depok,1,netral
52,depok dengan jadwal sebagaimana terlampir pada post berikut ini saat pengambilan mahasiswa wajib untuk datang tepat waktu sesuai dengan sesi yang telah ditentukan menyerahkan print out lembar idm ukuran jaket kuning menerapkan protokol kesehatan covid,-16,negatif
53,wali kota depok mohammad idris hari ini menerima suntikan vaksin covid untuk dosis kedua proses vaksin berjalan lancar dan tidak ada keluhan setelah observasi selama menit baca berita selengkapnya di,8,positif
54,saat ini sedang berlangsung vaksinasi covid tahap dengan sasaran tenaga kesehatan lanjut usia dan layanan publik ber ktp domisili depok masyarakat yang termasuk dalam kategori sasaran tersebut dapat melakukan pendaftaran melalui link,13,positif
55,bagi masyarakat yang belum menerima vaksin covid mohammad idris meminta agar bersabar sebab vaksin tersebut dikirim secara bertahap dari pusat wali kota depok,7,positif
56,rabu wali kota mohammad idris menerima vaksin covid kedua di rs hermina depok patuh konsisten terapkan m memakai masker mencuci tangan pakai sabun menjaga jarak menjauhi kerumunan mengurangi mobilitas,9,positif
57,kasus aktif covid di depok kini berjumlah pasien itu artinya mereka masih harus menjalani isolasi dan perawatan,0,netral
58,karyawan pusat perbelanjaan di kota depok divaksinasi corona,4,positif
59,karyawan pusat perbelanjaan di kota depok divaksinasi covid sebanyak karyawan pusat perbelanjaan di kota depok jawa barat divaksinasi covid vaksinasi dilaksanakan selama dua hari pada selasa dan rabu maret di pusat,12,positif
60,mungkin karena beda tempat beda orang beda yang ngurusin kyak ane di kukusan kerasa banget bang katarnya dari mulai yang rutin seperti donor darah di masa covid pmi depok selalu suplai darah ke jakarta saking kurangnya sampai yang kayak insidental bantuin pedagang yang kedampak covid,-21,negatif
61,dinas kesehatan kota depok mulai melakukan vaksinasi covid dosis pertama kepada pegawai pusat perbelanjaan kali ini vaksinasi berlangsung depok town square,11,positif
62,pemerintah kota depok gelar vaksinasi covid drive thru selama bulan di rsui ini sasaran dan cara mendaftar,3,positif
63,vaksinasi covid massal digelar pemerintah kota depok di detos,2,netral
64,pemerintah kota depok bersama rsjd dan appbi gelar vaksinasi massal covid,7,positif
65,pemerintah kota depok gelar vaksinasi covid massal di detos,4,positif
66,tidak ada zona merah covid depok belum izinkan sekolah tatap muka,6,positif
67,pemerintah kota depok jawa barat mencatat kasus baru covid dan pasien sembuh sertai dua orang meninggal pada senin,-3,negatif
68,kpu kota depok melaksanakan kegiatan vaksinasi covid tahap di rs bunda aliya ayo kita lawan covid vaksin covid aman dan halal,8,positif
69,wow sudah lebih dari setaun semenjak case korona prtama di depok orang,0,netral
70,vaksinasi covid secara drive thru kini juga dilakukan di depok jawa barat,5,positif
71,angkatan corona pemenang osk depok terbanyak x smansa medal osn satu angkatan paling banyak snm gila asli keren banget angkatanku,4,positif
72,pemerintah kota depok pastikan vaksin covid terdistribusi sebelum kadaluarsa,5,positif
73,tahun lalu makan tahu bulat langsung batuk terus muncul kasus corona di depok makin insecure saya sama batuk tertawa,7,positif
74,proses belajar tatap muka di depok tunggu perkembangan covid hingga juni lewat,9,positif
75,dalam rangka operasi yusitisi untuk mencegah penyebaran covid ditlantas polda diy memberikan himbauan serta membagikan masker kepada pengendara jalan di halaman depan polsek depok,0,netral
76,pengecekan suhu tubuh dijadikan upaya preventif penyebaran covid management dan staff fave hotel margonda depok selalu konsisten dalam menerapkan protokol kesehatan sebagai bentuk keseriusan memutuskan rantai penyebaran covid dilingkungan hotel,1,netral
77,driver cibinong biasa mangkal di stasiun depok sudah sebulan tidak on bid karena kena covid izin tag para senior,-12,negatif
78,pemerintah kota depok mencatat kasus baru covid dan pasien sembuh minggu,3,positif
79,lokasi vaksinasi covid untuk lanjut usia depok dan cara daftarnya klik untuk baca,7,positif
80,depok anjing makin malam makin ramai baguslah kamu kena covid semua,-5,negatif
81,teteh sekarang teteh di jagakarsa saya oke aku depok saja tidak tahu akan dibukain pintu apa tidak sama aa covid euy sieun da dikunciin didepan sama aa,-6,negatif
82,kegiatan binluh kepada alfamart jl gejayan caturtnggal depok sleman tentang pemberlakuan ppkm mikro dan edukasi masyarakat memberikan pesan pesan keamanan dan ketertiban masyarakat agar selalu mengikuti protokol kesehatan dalam rangka pencegahan penyebaran covid,14,positif
83,percepat penanganan covid serka saring laksanakan kegiatan ppkm di pasar burung depok,3,positif
84,depok aman dari covid,-4,negatif
85,pemerintah kota depok punya anggaran btt untuk penanganan covid dan bencana alam,0,netral
86,pemerintah kota depok gelar vaksinasi covid drive thru mulai senin besok,5,positif
87,patroli gabungan koramil sukmajaya kodim depok bersama polsek sukmajaya polres metro depok dalam rangka antisipasi kerawanan keamanan dan kegiatan pengawasan kedisiplinan protokol kesehatan dalam rangka pencegahan penyebaran covid,12,positif
88,sudahkah orang tuamu menerima vaksinasi covid bagi warga depok daftarkan di program sentra vaksinasi indonesia bangkit yang diinisiasi oleh xl axiata kunjungi untuk registrasi vaksin sekarang untuk indonesia,13,positif
89,bapak kepala smp paripurna depok menerima vaksinasi covid sehat terus pak,10,positif
90,seluruh informasi mengenai vaksinasi covid kota depok di informasikan melalui laman akun begitu juga dengan jadwal vaksin berikutnya terima kasih,13,positif
91,fkm ui bappeda depok dan dlkh bogor latih petugas kebersihan guna cegah terinfeksi covid,2,netral
92,ketua dprd depok pastikan apbd tidak dipotong untuk penanganan covid depok news,-1,netral
93,ketua dprd depok pastikan apbd tidak dipotong untuk penanganan covid,-2,negatif
94,pagi dapat telepon dari mother pertanyaannya langsung mut baik baik saja kan karena dia tahu saya dari bandung takutnya kena covid he terus tidak boleh pulang ke depok dulu cenah,-10,negatif
95,kementrian kominfo kementerian kesehatan dan dewan pers menggelar vaksinasi covid dosis kedua secara massal untuk saya media di jakarta bogor depok tangerang dan bekasi who apresiasi indonesia,-4,negatif
96,yth dinas kota depok mohon penanganan ada orang diduga sakit jiwa kumpul-kumpul di halte pondok cina yang membuat orang pada takut orang selain sakit jiwa yang bersangkutan juga seperti kena sakit ayan orang takut memberikan pertolongan karena covid,-23,negatif
97,kasus aktif covid di depok kini berjumlah pasien yang masih harus menjalani isolasi dan perawatan berkurang dibandingkan kemarin,-6,negatif
98,virtual meeting penguatan timdu pgn dan pn pemerintah daerah untuk mendukung harmonisasi sosial kemasyarakatan di masa pandemi covid yang diselenggarakan oleh kemendagri ri bnn kota depok,-4,negatif
99,ini link pendaftaran vaksin virus corona lanjut usia di jakarta dan depok,7,positif
100,depok di hari kedua vaksinasi covid kepala rumah tahanan negara kelas i depok anton beserta pejabat struktural dan pegawai sambangi rumah sakit citra medika untuk melaksanakan vaksinasi covid,1,netral
101,karutan kelas i depok beserta pegawai terima vaksinasi covid hari kedua,4,positif
102,sudah sebulan solat jumat di masjid ini di daerah depok mayoritas rangorang tidak pakai masker mungkin yang pakai masker hanya berasa sudah tidak ada pandemi covid bingung aye tapi berdoa semoga memang di daerah ini tidak ada orang yang positif jadi jamaah dijauhkan dari covid,-7,negatif
103,kegiatan binluh kepada bank bni unit depok jl maguwoharjo sleman tentang pemberlakuan ppkm mikro dan edukasi masyarakat memberikan pesan pesan keamanan dan ketertiban masyarakat agar selalu mengikuti protokol kesehatan dalam rangka pencegahan penyebaran covid,10,positif
104,min bertanya dunks status resiko covid kota depok saat ini kan sedang oranye kuning untuk penyelenggaraan sholat jumat apakah masih berlaku fatwa saat zona merah yang dulu min bbrp mesjid sudah ramai banget ini min rada dekat sekali juga jaraknya bbrp g pakai masker,9,positif
105,sd bogor ke jungleland depok ke masjid kubah mas jakarta ke ragunan sama monas smp bandung jakarta sama sebenernya ke bali cmn gara gara corona jadinya ditunda,0,netral
106,warga lanjut usia lanjut usia berdomisili jakarta bogor depok tangerang dan bekasi jabodetabek cukup membawa ktp agar bisa mengikuti program vaksinasi covid yang digelar oleh kementerian bumn di istora senayan jakarta,-4,negatif
107,berikut detail jumlah pasien covid berdasarkan kelurahan kelurahan di kota depok berdasarkan jumlah kasus aktif,-6,negatif
108,penyintas covid dari bersaudara cm saya yang belum terpapar dom depok dan jakarta tapi saya di pwt alhamdulillah hanya bergejala semua tidak ada yang parah selamat pagi dan salam sehat,-17,negatif
109,dinkes depok efek setelah vaksin covid tidak berbahaya,-4,negatif
110,pemerintah kota depok mencatat kasus baru covid pasien sembuh dan orang meninggal akibat covid dalam sehari,1,netral
111,dinkes depok efek setelah lakukan vaksin covid tidak berbahaya antara news jawa barat,-4,negatif
112,kapolsek limo kompol tata irawan membagikan paket sembilan bahan pokok kepada warga terdampak covid bantuan dari csr perusahaan baca selengkapnya,9,positif
113,saya membutuhkan golongan darah o untuk transfusi plasma darah buat suami saya golobgab darah suami saya o saat ini positif covid di icu rs mitra keluarga depok mohon bantuannya apabila ada dapat menolong kami saat ini terima kasih,29,positif
114,yang berhak mdptkan vaksin covid mnrt edaran mui kota depok adl tokoh agama kyai ustadz pengurus dkm takmir masjid kenyataan dilapangan dimanfaatkan oleh oknum kamu ikut serta dengan meminta surat keterangan sebagai pengurus rumah ibadah,6,positif
115,miris lihat orang memanipulasi data demi mendapatkan vaksin covid di kota depok mereka mengaku pengurus tempat ibadah dan itu didukung oleh pengurus asli tempat ibadah dengan mengeluarkan surat keterangan bahwa yang bersangkutan adalah pengurus tidak malu,0,netral
116,depok ratusan anngota kodim depok menerima suntikan vaksin covid tahap dua bertempat di aula makodim depok jl pramuka nomor kelurahan mampang kecamatan pancoran masa kota depok rabu,8,positif
117,babinsa koramil sukmajaya kodim depok suntik vaksin covid kedua di makodim depok rabu,3,positif
118,brebes mili pagi ini dipersembahkan oleh istri teman kuliah yang dirawat karena covid dan hamil anaknya harus dilahir prematurkan agar bisa dikasih obat dosis tinggi jika diberikan saat ada janin akan membahayakan janin kalau ada informasi donor plasma daerah mention,-7,negatif
119,jumlah pasien kasus aktif covid di depok kini mencapai orang hingga data diperbarui kemarin,1,netral
120,pemerintah kota depok mencatat lonjakan kasus baru covid tertinggi sejak februari,2,netral
121,kiriman kaos dan maskernya dari id telah kami terima terima kasih sektor azalea grand depok city,0,netral
122,praise the lord terima kasih untuk pemerintah kota depok hari ini saya dan istri saya rosie pakpahan telah menerima vaksin covid salam sehat untuk kita semua ncovid,4,positif
123,masih inget kan bagaimana pandemi pemilihan kepala daerah telah kita lewati sekaligus di satu waktu tidak bisa dipungkiri penanganan covid pemilihan kepala daerah pernah saling mewarnai penasaran bagaimana kota depok menghadapi pandemi pemilihan kepala daerah kemarin ayo cari tahu disini,-7,negatif
124,antara kejari depok dengan dinas pendidikan dan dinas perumahan dan permukiman yang diselenggarakan di kantor kejaksaan negeri depok kegiatan ini diselenggarkan dengan tetap menerapkan protokol kesehatan covid,4,positif
125,positif corona depok menurun sembuh meningkat,4,positif
126,koordinasi tim gugus tugas penanganan covid kalurahan caturtunggal bersama kapanewon depok dan puskesmas depok iii selengkapnya,-3,negatif
127,ayo warga kota depok ada kesempatan divaksin anti korona segera mendaftar h hamzah ini situs resmi pendaftaran vaksinasi covid tahap di depok,14,positif
128,jumlah penderita covid di depok terus berkurang,-4,negatif
129,bapak ibu mohon informasi apakah ada link pendaftaran vaksin covid dari pemerintah kota depok terima kasih,14,positif
130,ini jangan cuma balesin atau copy teks saja bisa admin harus informatif juga emosi kalau pagi naik krl dari depok saja sudah kena serangan fajar melulu ganas lagi benar corona minder kayaknya sama anker,-32,negatif
131,kala itu bertepatan dengan ketika gubernur diy sri sultan hamengku buwono x mengumumkan bahwa ada bocah berusia tiga tahun asal sleman mengalami sesak napas seusai melakukan perjalanan dari depok jawa barat dan dinyatakan positif corona,8,positif
132,cara daftar vaksinasi covid tahap di depok lewat situs resmi,7,positif
133,vaksinasi covid lanjut usia asn pendidik dan pedagang dalam wilayah kecamatan cinere kota depok rumah sakit puri cinere,7,positif
134,pemerintah kota depok mencatat kasus baru covid dan pasien covid dinyatakan pulih,-1,netral
135,sebenernya kalau cgv dekat rumah saya si banyak ada yang dmall di depok sama di teko bsd juga ada tapi ini masalahnya saya takut tidak diizinin ibu saya nonton di bioskop lagi corona giniiii,-4,negatif
136,pemerintah kota depok belum berencana membuka kembali tempat karaoke meski persebaran covid sudah turun,-2,negatif
137,hijau apa itu zona covid depok kah,-3,negatif
138,depok sudah buka belum si kalau sudah saya g perlu ke jakarta sksksk korona meresahkan banget anjrot,3,positif
139,depok zona hitam atau zona merah covid itu cuma ada di hari biasaa kalau hari minggu begini covid liburr buktinya apa coba saja lewat jalan juanda depok arah margondaa hahhaa,-6,negatif
140,awal corona kan kasus di depok terus kepala sekolah saya bicara kita sehat gaperlu pakai masker kecuali kalau kamu sakit baru pakai,-1,netral
141,jeritan hati seorang lc karaoke di depok di tengah pandemi covid,-7,negatif
142,dijalan ke depok deh pada banyak bikin pengajian rapet rapet mang isu bohong ini corona,-11,negatif
143,sejak tanggal januari tercatat sebanyak jiwa terdampak covid di rw kelurahan depok jaya pancoran mas kota depok banyaknya masyarakat disana yang terdampak secara ekonomi dan kesehatan akibat covid,-4,negatif
144,bantuan ekonomi dan kesehatan masyarakat terdampak covid,-2,negatif
145,sudah setahun corona di indo jadi inget awal awal depok trend kirain apa ternyata ada pasien covid masuk di indo,-3,negatif
146,faskes di depok terima vaksin covid tahap kedua,4,positif
147,hari kamis pagi karena si bodski masih demma tinggi saja kita putuskan untuk ke hermona depok rs rujukan covid alhamdulillah tidak salah pilih rs pelayanan untuk penyandang covid baik banget semua nakes dan dokternya bikin tenang dan cepat tanggap,4,positif
148,halo diberita termasuk web pemerintah kota depok ditulis kecamatan kelurahan beji belum ada jatah vaksin covid taunya di website bisa daftar domisili beji untung kita coba klik dirapiin kenapa biar tidak bingungin warga cc,9,positif
149,vaksinasi covid tahap sedang berlangsung dengan sasaran tenaga kesehatan lanjut usia dan pelayan publik ber ktp domisili depok dapat langsung mengakses melalui link,19,positif
150,bahagia birtday covid satu tahun sudah rebahan di rumah mudahan di tahun ini bisa menjalankan aktipitas seperti dulu kangen macetnya depok bogor jakarta,15,positif
151,maret maret setahun yang lalu saya lkmm ke depok padahal di depok ada orang yang covid sedangkan saya kesana hari tidak megang hp,-14,negatif
152,vial vaksin covid tahap kedua di depok didistribusikan ke faskes,2,netral
153,tingkat penganguran terbuka pra covid di depok di bogor di bekasi di tangerang rata dengan pademi meningkat pempus mengeluarkan kebijakan pen tapi oleh pemerintah daerah bahkan tidak langsung tuk usaha produktif rakyat akan meledak pada kwartal,2,netral
154,tim cendrawasih satlantas polrestro depok melaksanakan patroli dan penindakan kepada pengguna jalan yang melanggar ketertiban lalulintas sekaligus pendisiplinan protokol kesehatan covid,-12,negatif
155,ratusan pedagang pasar di kota depok telah divaksinasi covid tahap dua,-1,netral
156,bentuk nyata pemerintah kota depok dalam penanganan pencegahan covid dengan melakukan vaksinasi ke pedagang di cisalak pasar cimanggis depok baca berita selengkapnya di,19,positif
157,juru bicara tim gugus tugas percepatan penanganan covid kota depok dadang wihana mengatakan tempat hiburan seperti karaoke belum diperkenankan membuka usahanya hal itu dikarenakan pemerintah kota pemerintah kota depok masih mengacu dan menjalankan peratu,-12,negatif
158,kenapa aplikasi daftar vaksin covid dihapus kalau satu rw di depok hanya dapat jatah vaksin lanjut usia untuk orang dan puskesmas setempat tidak melayani vaksinasi lanjut usia apakah orangtua saya harus ngemis ngemis ke dki supaya bisa divaksin,0,netral
159,saya ntnn the flu di sekul pas ada corona di depok sjsjsj,0,netral
160,pedagang pasar di depok lakukan vaksinasi covid,2,netral
161,hari ini orang tua kami jalani vaksin covid lokasi di istora senayan ktp selain dki jakarta bisa datang karena orang tua ktp depok sehari mereka target rb orang ayo dukung vaksin bagi lanjut usia,2,netral
162,usai vaksinasi covid wali kota depok mengaku ngantuk dan ingin minum kopi,-1,netral
163,kasus aktif covid di depok kini bertambah menjadi pasien yang menjalani isolasi dan perawatan,-3,negatif
164,covid belum selesai tetap waspada terapkan m utamakan keselamatan kita dan orang orang yang kita kasihi,1,netral
165,gejala paparan virus corona masih terasa saat sudah sembuh pakar sebut long covid tidak menular pikiran rakyat depok pikiran rakyat,-3,negatif
166,iyaa lagi di depok tembalang ramai terus ki sepi pas lebaran corona ituu saja,-4,negatif
167,wali kota depok mohammad idris beserta istri elly farida menjalani vaksinasi covid di rumah sakit ibu dan anak rsia hermina kota depok,-1,netral
168,pedagang pasar di depok terima vaksinasi covid,4,positif
169,kecamatan cinere tidak termasuk wilayah yang memiliki kasus konfirmasi positif terbanyak di kota depok dengan demikian wilayah itu belum dapat melaksanakan vaksinasi covid untuk masyarakat lanjut usia lanjut usia,-4,negatif
170,jumlah pasien kasus aktif covid di depok kini mencapai orang hingga data diperbarui rabu kemarin,1,netral
171,puluhan pedagang pasar cisalak divaksin covid depok news,-1,netral
172,pemerintah kota depok mencatat lonjakan kasus baru pasien covid dinyatakan pulih dan seorang pasien wafat,2,netral
173,update tambah kasus di depok pasien covid masih dirawat,2,netral
174,apakah ada yang tahu suntik vaksin covid untuk lanjut usia di depok itu di mana karena vaksin covid setahu saya untuk sementara untuk yang tinggal di ibukota provinsi dulu untuk kota kota kecil belum ada,-9,negatif
175,dari kota depok kalau saya tidak kemana mana habis masih ada covid saya belum berani kemana mana salam buat selvi mediya terima kasih,-5,negatif
176,coba ke ben kelurahan syaraf depok tepatnya di kelurahan limo depok disana pengobatan manjur dari stroke program hamil totok diet bahkan hingga corona,-5,negatif
177,jumlah total pasien positif covid sembuh di depok sebanyak orang,7,positif
178,pernah positif covid wali kota depok dan istri divaksin,2,netral
179,rentan penularan covid depok masih larang tempat karaoke beroperasi,-10,negatif
180,coba tanya walikota depok yang penyintas covid tapi sudah divaksin sekeluarga,1,netral
181,wali kota depok terima vaksin covid depok news,4,positif
182,penyintas covid wali kota depok disuntik vaksin sinovac,1,netral
183,tenaga pengajar di beberapa daerah di jawa barat sudah divaksin covid di antaranya di daerah bogor depok dan bekasi bodebek,8,positif
184,kasus covid sehari asn di depok dilarang ke luar kota,-5,negatif
185,wali kota depok terima vaksin covid,3,positif
186,rabu wali kota mohammad idris didampingi ketua tapi pkk kota depok elly farida melakukan vaksinasi covid di rumah sakit hermina depok,-1,netral
187,bhabinkamtibmas kalurahan parangtritis bripka tohari melaksanakan pendampingan giat penyemprotan disinfektan oleh fprb kalurahan parangtritis di dsn depok dalam rangka pencegahan dan pengendalian penyebaran covid rabu,3,positif
188,dosis vaksin covid ditargetkan buat vaksinasi guru se jabar beberapa wilayah yang sudah mulai menerapkan pola pembelajaran tatap muka di antaranya bogor depok dan bekasi,15,positif
189,cegah covid pemerintah kota depok larang asn ke luar kota saat libur isra miraj,0,netral
190,usai vaksinasi covid wali kota depok mengaku ngantuk dan ingin minum kopi dia mengaku mengantuk setelah divaksin dia pun akan minum kopi setelah vaksin ngantuk ingin kopi setelah setengah jam boleh ngopi katanya ungkapnya,-11,negatif
191,juru bicara satuan tugas penanganan covid kota depok dadang wihana meminta asn tidak pergi ke luar kota pada libur panjang akhir pekan ini,-4,negatif
192,sempat positif covid wali kota depok m idris terima suntikan vaksin,7,positif
193,hayuk ngaliwet kalau covid lewat nanti saya namu ke depok,-5,negatif
194,wali kota depok disuntik vaksin covid bagian dari ikhtiar,-3,negatif
195,dua pekan lalu tingkat keterisian tempat tidur pasien covid di kota depok mencapai persen,5,positif
196,wali kota depok mohammad idris yang pernah terkonfirmasi covid akhirnya mendapatkan suntikan perdana vaksin sinovac bersama istrinya elly farida,-1,netral
197,wali kota depok mohammad idris menjalani vaksinasi covid dosis pertama rabu istrinya elly farida juga menjalani vaksinasi,10,positif
198,ribuan anggota polisi di depok disuntik vaksin covid,-1,netral
199,yang orang depok mau bertanya ini di depok ada rajia covid gasih,6,positif
200,wali kota depok ungkap pengalaman divaksin covid rasanya dingin ngantuk pengin kopi,5,positif
201,sebanyak polisi di depok menjalani vaksinasi covid,5,positif
202,free homecare covid kita masih ada jangan lupa booking unit anda segera sebelum kehabisan tag rumah depok depok sawangan rumah murah lokasi strategis,14,positif
203,pemerintah kota depok mencatat lonjakan kasus baru covid tertinggi dalam sepekan terakhir,5,positif
204,pekerja di depok di phk selama pandemi covid ribuan lainnya dirumahkan pekerja yang terkena phk mayoritas bekerja di garmen dan perhotelan para pekerja pun memperjuangkan apa yang menjadi hak mereka yaitu pesangon,-11,negatif
205,buruh depok menjadi korban phk selama pandemi corona,-10,negatif
206,dapat dosis personil polres metro depok lakukan vaksinasi covid tahap dua,5,positif
207,dapat dosis personil polres metro depok lakukan vaksinasi covid tahap dua depok pemerintah kota depok melalui dinas kesehatan di,10,positif
208,yang diselenggarakan di bumi sampireun dmall depok kegiatan ini diselenggarkan dengan tetap menerapkan protokol kesehatan covid,0,netral
